word,file,sentence,decision,fix_to
"הוויתור","event-waiver.html","(יש לגלול עד לסוף כתב הויתור כדי לאפשר סימון) אני מאשר שהמתחם רשאי ליצור קשר עם איש הקשר שלי במקרה חירום חתום על כתב הוויתור ✅ כתב הוויתור נחתם בהצלחה!","",""
"הופ","graffiti-center.html","שורשי הגרפיטי גרפיטי היא אומנות רחוב שמתמקדת בציור או כתיבה על קירות או משטחים ציבוריים מעט היסטוריה גרפיטי קיים כבר אלפי שנים ת עם דוגמאות מהעת העתיקה כגון ממצרים ויוון עם זאת התופעה המודרנית של גרפיטי החלה בשנות ה-60 וה-70 בעיר ניו יורק כחלק מתופעת הסאב- תרבות של ההיפ הופ מה תלמדו אצלנו: ישנן מספר טכניקות שגריפיטאים משתמשים בהן, כולל 1 ספריי צבע - השיטה הנפוצה ביותר שבה משתמשים בקופסאות ספריי לציור והשגת צבעים עזים 2 פנדה או טוש - כלי פשוט לפיתוח קווים דקים ולעיתים גם כתיבה של טקסטים 3 שבלונות - טכניקת ציור שבה משתמשים בשבלונות מוכנות להשגת דוגמאות מדויקות ומהירות 4 ציור ביד חופשית - ציור ישיר על הקיר בעזרת צבעים ומברשת גרפיטי עדיין מעורר דיונים רבים לגבי החוקיות ומעמדו כאומנות האקדמיה: התנסו שפורצת את הגבולות!","",""
"הח","event-waiver.html","כתב ויתור - אירוע קבוצתי | SMASH LAB 📋 ""> דלג לתוכן הראשי כתב ויתור נדרש לקרוא ולחתום לפני השתתפות בפעילויות כתב ויתור ושחרור מאחריות ⚠️ קישור לא תקין טופס בטיחות הסתכנות מרצון - כתב ויתור ושיפוי, הסכמה לשאת בנזקים ושחרור מאחריות מבוא והצהרת כוונות אני הח""מ, לאחר שקראתי בעיון את כתב ויתור זה, מצהיר/ה ומאשר/ת כי הבנתי את מלוא תוכנו, משמעויותיו ההשלכות המשפטיות הנובעות ממנו, וכי אני חותם/ת עליו מרצוני החופשי, מתוך הבנה מלאה של הסיכונים הכרוכים בפעילות.","",""
"הסיסמה","login.html","הירשם עכשיו הרשמה שם מלא * אימייל * סיסמה * הסיסמה חייבת לכלול: לפחות 8 תווים אות גדולה אחת לפחות אות קטנה אחת לפחות מספר אחד לפחות תו מיוחד אחד לפחות (!@#$%^&*) אימות סיסמה * הירשם נא להשלים את כל השדות ולעמוד בדרישות הסיסמה כבר יש לך חשבון?","",""
"הסמאש","birthday.html","חגיגות יום הולדת - SmashLabs 🎉 ""> דלג לתוכן הראשי 🎉 יום הולדת במעבדת הסמאש🎂 מקטן ועד גדול תמיד כיף לחגוג יום הולדת!","",""
"ואפוסטרוף","event-waiver.html","[snippet] t"" id=""full-name"" name=""full-name"" required pattern=""[a-zA-Zא-ת\s'\-]+"" title=""שם יכול להכיל רק אותיות, רווחים, מקף (-) ואפוסטרוף (')""> </div> <div class=""form-group"">","",""
"ובהשגחה","about.html","כל הפעילויות מתבצעות בציוד מקצועי ובהשגחה צמודה.","",""
"ובכתב","event-waiver.html","אני מתחייב/ת לפעול בהתאם למלוא הוראות הבטיחות שנמסרו לי בעל-פה ובכתב, לרבות: א.","",""
"ובסרטונים","event-waiver.html","אני מסכים/ה כי המפעיל רשאי לצלם ולהקליט אותי במהלך הפעילות, ולעשות שימוש בתמונות ובסרטונים אלה למטרות פרסום, שיווק, תיעוד ופרסום ברשתות חברתיות, ללא תמורה ומבלי שתהיה לי כל טענה או דרישה בעניין זה.","",""
"ובעזרת","paint-room.html","פורינג בובת גבס 🧸 ביחרו בין דובי גמד או פיטריה מגבס ובעזרת טכניקת ""פורינג"" נצבע את הבובה.","",""
"ובעמוד","event-waiver.html","סיכוני פציעה פיזית - חתכים, שריטות, חבלות, שברים, פציעות ראש, פגיעה בעיניים, חבלות בגפיים, פציעות בגב ובעמוד השדרה, חבלות פנימיות, דימומים, פציעות קשות או אף מוות.","",""
"ובריכוז","event-waiver.html","קראתי את כתב ויתור זה בעיון ובריכוז, והבנתי את כל סעיפיו ומשמעויותיו.","",""
"ובתנאי","event-waiver.html","במקרה של נזק הנובע מהסיכונים האינהרנטיים הללו, ובתנאי שהמפעיל פעל בהתאם לחובות הזהירות המוטלות עליו על פי דין, סיפק ציוד תקין והדרכה נאותה, אני מסכים/ה כי אחריותי האישית לנזק כאמור תילקח בחשבון ככל שאפנה לערכאות המשפטיות.","",""
"והבלעדית","event-waiver.html","אני מסכים/ה כי כל נזק, פגיעה, חבלה, אובדן או הפסד שייגרמו לי - בין אם לגוף, לנפש, לרכוש או לכל דבר אחר - לפני הפעילות, במהלכה, מיד לאחריה או בעקיפין כתוצאה ממנה - יהיו באחריותי המלאה והבלעדית, ועל חשבוני בלבד.","",""
"והויתור","order.html","פרטי הזמנה יש לי כבר חשבון - טען את הפרטים והויתור שלי ⚡ אם כבר יצרת חשבון בעבר, נטען את כל הפרטים שלך אוטומטית כולל כתב הויתור השמור אימייל סיסמה טען את הפרטים שלי צור חשבון כדי לשמור את הויתור שלך להזמנות עתידיות 💡 שמור זמן: כתב הויתור שלך יישמר בחשבון ולא תצטרך למלא אותו שוב בהזמנות הבאות.","",""
"והחוקים","event-waiver.html","ידוע לי כי המפעיל מחויב ופועל על פי התקנות והחוקים הרלוונטיים לשמירה על בטיחות המשתתפים, לרבות: א.","",""
"והיידה","rage-room.html","חוויה זו מתאימה לכל הגילאים ומביאה אתכם לשחרר מתח בדרך הכי מעניינת שאפשר הסבר בטיחות, לבחור כלי או כלים בעזרתם תרצו לשבור ולרסק, בוחרים פלייליסט והיידה לתת בראש.","",""
"והמלא","event-waiver.html","אני מצהיר/ה בזאת כי אני משתתף/ת בפעילות מרצוני החופשי והמלא, מתוך בחירה אישית מודעת, וללא כל לחץ או כפייה.","",""
"והמפעיל","event-waiver.html","כל נזק לרכוש אישי שלי יהיה על אחריותי הבלעדית, והמפעיל לא יישא בכל אחריות או חבות לנזקים אלה.","",""
"והמתחם","event-waiver.html","תחזוקה שוטפת של הציוד, הכלים והמתחם.","",""
"והנפשי","event-waiver.html","מצבי הבריאותי הפיזי והנפשי תקין, ואני כשיר/ה מבחינה רפואית להשתתף בפעילות גופנית אינטנסיבית ומאומצת.","",""
"והסיכונים","event-waiver.html","תיאור הפעילות והסיכונים הכרוכים בה 1.","",""
"והפרופיל","login.html","התחברות - SmashLabs 💥 ""> דלג לתוכן הראשי התחברות למערכת נהל את ההזמנות והפרופיל האישי שלך התחברות אימייל * סיסמה * התחבר עדיין אין לך חשבון?","",""
"והציוד","about.html","התהליך שלנו 1 היכרות ותדרוך: נכיר אתכם ונסביר על הפעילות הנבחרת, כללי הבטיחות והציוד.","",""
"והתהליך","about.html","[snippet] =cover""> <title>אודות - SmashLabs</title> <meta name=""description"" content=""למדו על SmashLabs - הצוות, הערכים והתהליך שלנו""> <!-- Open Graph Meta Tags --> <meta property=""og:title"" content=""אודות - SmashLabs""> <meta prop","",""
"והתמרורים","event-waiver.html","לעקוב אחר השילוט והתמרורים המוצבים במתחם.","",""
"והתקרה","paint-room.html","בחדר הייחודי שלנו תוכלו להתיז, למרוח לשפוך ולהשפריץ צבע על הקירות, הרצפה והתקרה וגם אחד על השני – ללא חוקים וללא גבולות.","",""
"וואטסאפ","index.html","ניתן ליצור איתנו קשר בוואטסאפ לתיאום הזמנות פתח וואטסאפ 📱 050-442-9195 למילוי הסכם ויתור על מנת לשחק: לחץ כאן האתר נמצא בפיתוח על ידי Sand כל הזכויות שמורות © 2025 SmashLabs","",""
"וחגידה","rage-room.html","ואז כל מה שנשאר זה להגיע רבע שעה לפני הזמן שקבעתם כדי להתממן ולעבור הסבר בטיחות, לבחור כלי או כלים בעזרתם תרצו לשבור ולרסק, בחדרים פליטיסט וחגידה לתת בראש.","",""
"וכיפית","about.html","המתחם שלנו נוצר מתוך רצון לספק חלופה בריאה וכיפית להתמודדות עם לחצי החיים, תוך מתן מרחב לפיתוח כישורים חדשים ויצירת קשרים חברתיים.","",""
"ולאחריה","event-waiver.html","לציית להוראות צוות המפעיל בכל עת, לפני הפעילות, במהלכה ולאחריה.","",""
"ולגדול","about.html","קהילה תומכת אנחנו יוצרים סביבה חמה ומקבלת שבה כולם מרגישים בנוח להתנסות, ללמוד ולגדול יחד.","",""
"ולהבטחת","accessibility.html","אנו פועלים ברציפות לשיפור הנגישות הדיגיטלית של האתר שלנו ולהבטחת חוויית משתמש מיטבית לכולם.","",""
"ולהודיע","event-waiver.html","אני מתחייב/ת לעשות שימוש נכון, מלא ומתמיד בכל ציוד המגן שיסופק לי על ידי המפעיל, לרבות: משקפי מגן / מגן פנים קסדה כפפות עבודה נעליים סגורות ומגן בוהן (לא באחריות המפעיל לספק) ביגוד מגן (סרבל, אפוד וכו') כל ציוד מגן נוסף שיידרש אני מתחייב/ת לבדוק בעצמי את תקינות ציוד המגן והכלים לפני תחילת הפעילות, ולהודיע מיידית למפעיל על כל ליקוי, סדק, בלאי או פגם שאזהה.","",""
"ולהפוך","birthday.html","זוהי חוויה מרגשת שמאפשרת לכל ילד לבטא את עצמו בצורה יצירתית ומהנה, ולהפוך חלק מהמסיבה ליצירת אמנות אישית שישמרו כזיכרון מתוק.","",""
"ולהקליט","event-waiver.html","אני מסכים/ה כי המפעיל רשאי לצלם ולהקליט אותי במהלך הפעילות, ולעשות שימוש בתמונות ובסרטונים אלה למטרות פרסום, שיווק, תיעוד ופרסום ברשתות חברתיות, ללא תמורה ומבלי שתהיה לי כל טענה או דרישה בעניין זה.","",""
"ולהשלכות","event-waiver.html","אני מצהיר/ה בזאת כי הבנתי את כל האמור לעיל, קיבלתי את מלוא ההסברים הדרושים, וכי אני חותם/ת על כתב ויתור זה מתוך הבנה מלאה ומודעות לסיכונים ולהשלכות המשפטיות.","",""
"ולהשפריץ","paint-room.html","בחדר הייחודי שלנו תוכלו להתיז, למרוח לשפוך ולהשפריץ צבע על הקירות, הרצפה והתקרה וגם אחד על השני – ללא חוקים וללא גבולות.","",""
"ולהתחייב","event-waiver.html","גילי 18 שנים ומעלה ואני כשיר/ה מבחינה משפטית לחתום על מסמך זה, או לחלופין, אני הורה/אפוטרופוס טבעי או חוקי של הקטין/ים המפורט/ים להלן, ואני מוסמך/ת לחתום בשמו/ם ולהתחייב בשמו/ם על כתב ויתור זה.","",""
"ולהתייעץ","event-waiver.html","ניתנה לי הזדמנות לשאול שאלות, לקבל הסברים ולהתייעץ עם יועץ משפטי לפני החתימה.","",""
"ולהתנסות","graffiti-center.html","עם סדנאות מתקדמות, תוכלו לבחון את היכולות שלכם ולהתנסות במגוון סגנונות – כולם ממוקדים בקידום ומיקוד בסגנון האישי שלכם.","",""
"ולהתפתח","about.html","כל אחד יכול למצוא את הדרך שלו להתבטא ולהתפתח.","",""
"ולחוויות","about.html","אנחנו מאמינים שלכולם מגיע מקום לביטוי עצמי, לשחרור מתחים ולחוויות ייחודיות שיזכרו לעד.","",""
"ולחתום","event-waiver.html","כתב ויתור - אירוע קבוצתי | SMASH LAB 📋 ""> דלג לתוכן הראשי כתב ויתור נדרש לקרוא ולחתום לפני השתתפות בפעילויות כתב ויתור ושחרור מאחריות ⚠️ קישור לא תקין טופס בטיחות הסתכנות מרצון - כתב ויתור ושיפוי, הסכמה לשאת בנזקים ושחרור מאחריות מבוא והצהרת כוונות אני הח""מ, לאחר שקראתי בעיון את כתב ויתור זה, מצהיר/ה ומאשר/ת כי הבנתי את מלוא תוכנו, משמעויותיו ההשלכות המשפטיות הנובעות ממנו, וכי אני חותם/ת עליו מרצוני החופשי, מתוך הבנה מלאה של הסיכונים הכרוכים בפעילות.","",""
"ולחתימה","disclaimer.html","השתתפותכם בפעילויות כפופה לקריאה והבנה של הסכם זה ולחתימה על כתב ויתור.","",""
"וליצור","rage-room.html","בחלל מאובטח ומעוצב, תוכלו לזרוק חפצים, לשבור דברים וליצור חוויה מרגשת ומרגיעה בו זמנית.","",""
"וללא","event-waiver.html","אני מצהיר/ה בזאת כי אני משתתף/ת בפעילות מרצוני החופשי והמלא, מתוך בחירה אישית מודעת, וללא כל לחץ או כפייה.","",""
"ולסיום","nagishli/docs/hebrew/äüùéä/ëûëÿü ùàâ äüùéä.html","התאימו את ההגדרות לפי רצונכם ולסיום לחצו על 'יצירת קוד'.","",""
"ולעבודה","about.html","כולם חולקים את האהבה ליצירה, לאדרנלין ולעבודה עם אנשים.","",""
"ולעבור","rage-room.html","ואז כל מה שנשאר זה להגיע רבע שעה לפני הזמן שקבעתם כדי להתממן ולעבור הסבר בטיחות, לבחור כלי או כלים בעזרתם תרצו לשבור ולרסק, בחדרים פליטיסט וחגידה לתת בראש.","",""
"ולעזור","accessibility.html","תכונות נגישות באתר ⌨️ ניווט מקלדת ניווט מלא באמצעות מקלדת בלבד סימון ברור של האלמנט הפעיל קיצורי דרך נוחים סדר טאב לוגי ואינטואיטיבי 👁️ נגישות חזותית ניגודיות גבוהה בין טקסט לרקע גדלי גופן ברורים וקריאים אפשרות להגדלת טקסט עד 200% תמיכה בדפדפנים שונים 🔊 נגישות שמיעתית כתוביות לתכנים מולטימדיה תמלילים לקבצי שמע חלופות טקסט לתוכן שמיעתי התאמה לקוראי מסך 🖱️ אינטראקטיביות כפתורים ברורים עם תיאורים קישורים עם תיאור המטרה טפסים עם תוויות ברורות הודעות שגיאה מפורטות 📱 נגישות נייד עיצוב רספונסיבי מלא אופטימיזציה למגע גדלי כפתורים מתאימים תמיכה בטכנולוגיות עזר 🧠 נגישות קוגניטיבית מבנה עמוד ברור ולוגי תפריטי ניווט פשוטים הוראות ברורות אפשרות לביטול פעולות כלי נגישות באתר 🛠️ כלי הנגישות הזמינים הגדלת טקסט: Ctrl + Plus הקטנת טקסט: Ctrl + Minus איפוס זום: Ctrl + 0 ניווט מקלדת: Tab, Enter, חצים דילוג לתוכן: מקש Tab ראשון חזרה להתחלה: Alt + Home 📖 קוראי מסך תואמים NVDA (Windows) JAWS (Windows) VoiceOver (Mac/iOS) TalkBack (Android) Window-Eyes Dragon NaturallySpeaking בדיקות נגישות תהליך הבדיקה שלנו 🔍 בדיקות אוטומטיות סריקה שוטפת עם כלי אוטומטיים בדיקת ניגודיות צבעים תקינות תגי HTML מבנה כותרות לוגי 👥 בדיקות ידניות ניווט מקלדת מלא בדיקה עם קוראי מסך בדיקת חוויית משתמש משוב ממשתמשים עם מוגבלויות משוב ותמיכה 📞 דרכי יצירת קשר נשמח לקבל משוב על נגישות האתר ולעזור בכל בעיה שתיתקלו בה: טלפון: 050-442-9195 אימייל: Smashlab.nahariya@gmail.com פקס: 03-1234567 כתובת: ולפסון 9, נהריה זמני מענה: ראשון-חמישי, 09:00-17:00 🤝 התחייבותנו מענה לפניות תוך 48 שעות פתרון בעיות נגישות בדחיפות הסבר על אפשרויות הנגישות עדכון שוטף על שיפורים הכשרה למשתמשים שיתוף פעולה עם ארגוני נגישות נגישות פיזית במתחם ♿ נגישות כללית כניסה נגישה עם רמפה מעלית לכל הקומות מסדרונות רחבים שילוט ברייל תאורה מתאימה 🚻 שירותים נגישים שירותים מותאמים לכסאות גלגלים מעקות תמיכה כיור נגיש מתקן קריאה לעזרה חלל פתיחת דלתות מספיק 🅿️ חניה מקומות חניה מיועדים קרבה לכניסה הראשית רוחב מתאים להורדת כסא גלגלים שילוט ברור משטח חלק ללא מכשולים עדכונים ושיפורים תאריך עדכון אחרון: ינואר 2025 🔄 עדכונים אחרונים שיפור ניגודיות צבעים הוספת תוויות ARIA מפורטות אופטימיזציה לקוראי מסך שיפור ניווט מקלדת הוספת כתוביות לסרטונים 📅 תכנית עתידית הוספת תרגום לשפת הסימנים שיפור נוסף של הניווט הוספת מצב ניגודיות גבוהה תמיכה בקריאה פשוטה הרחבת תמיכה בטכנולוגיות עזר SmashLabs - המקום לשחרר לחצים!","",""
"ולעיתים","graffiti-center.html","שורשי הגרפיטי גרפיטי היא אומנות רחוב שמתמקדת בציור או כתיבה על קירות או משטחים ציבוריים מעט היסטוריה גרפיטי קיים כבר אלפי שנים ת עם דוגמאות מהעת העתיקה כגון ממצרים ויוון עם זאת התופעה המודרנית של גרפיטי החלה בשנות ה-60 וה-70 בעיר ניו יורק כחלק מתופעת הסאב- תרבות של ההיפ הופ מה תלמדו אצלנו: ישנן מספר טכניקות שגריפיטאים משתמשים בהן, כולל 1 ספריי צבע - השיטה הנפוצה ביותר שבה משתמשים בקופסאות ספריי לציור והשגת צבעים עזים 2 פנדה או טוש - כלי פשוט לפיתוח קווים דקים ולעיתים גם כתיבה של טקסטים 3 שבלונות - טכניקת ציור שבה משתמשים בשבלונות מוכנות להשגת דוגמאות מדויקות ומהירות 4 ציור ביד חופשית - ציור ישיר על הקיר בעזרת צבעים ומברשת גרפיטי עדיין מעורר דיונים רבים לגבי החוקיות ומעמדו כאומנות האקדמיה: התנסו שפורצת את הגבולות!","",""
"ולעמוד","login.html","הירשם עכשיו הרשמה שם מלא * אימייל * סיסמה * הסיסמה חייבת לכלול: לפחות 8 תווים אות גדולה אחת לפחות אות קטנה אחת לפחות מספר אחד לפחות תו מיוחד אחד לפחות (!@#$%^&*) אימות סיסמה * הירשם נא להשלים את כל השדות ולעמוד בדרישות הסיסמה כבר יש לך חשבון?","",""
"ולעצב","birthday.html","הפעילות המטריפה מאפשרת לחוגגים לבטא עם ספריי ולעצב חולצות בעצמם.","",""
"ולעשות","event-waiver.html","אני מסכים/ה כי המפעיל רשאי לצלם ולהקליט אותי במהלך הפעילות, ולעשות שימוש בתמונות ובסרטונים אלה למטרות פרסום, שיווק, תיעוד ופרסום ברשתות חברתיות, ללא תמורה ומבלי שתהיה לי כל טענה או דרישה בעניין זה.","",""
"ולפגוע","event-waiver.html","סיכונים מרסיסים ושברים מעופפים - זכוכית, מתכת, פלסטיק, עץ וחומרים אחרים העלולים להתעופף ולפגוע בגוף, בפנים, בעיניים או בחלקי גוף אחרים.","",""
"ולפסון","accessibility.html","תכונות נגישות באתר ⌨️ ניווט מקלדת ניווט מלא באמצעות מקלדת בלבד סימון ברור של האלמנט הפעיל קיצורי דרך נוחים סדר טאב לוגי ואינטואיטיבי 👁️ נגישות חזותית ניגודיות גבוהה בין טקסט לרקע גדלי גופן ברורים וקריאים אפשרות להגדלת טקסט עד 200% תמיכה בדפדפנים שונים 🔊 נגישות שמיעתית כתוביות לתכנים מולטימדיה תמלילים לקבצי שמע חלופות טקסט לתוכן שמיעתי התאמה לקוראי מסך 🖱️ אינטראקטיביות כפתורים ברורים עם תיאורים קישורים עם תיאור המטרה טפסים עם תוויות ברורות הודעות שגיאה מפורטות 📱 נגישות נייד עיצוב רספונסיבי מלא אופטימיזציה למגע גדלי כפתורים מתאימים תמיכה בטכנולוגיות עזר 🧠 נגישות קוגניטיבית מבנה עמוד ברור ולוגי תפריטי ניווט פשוטים הוראות ברורות אפשרות לביטול פעולות כלי נגישות באתר 🛠️ כלי הנגישות הזמינים הגדלת טקסט: Ctrl + Plus הקטנת טקסט: Ctrl + Minus איפוס זום: Ctrl + 0 ניווט מקלדת: Tab, Enter, חצים דילוג לתוכן: מקש Tab ראשון חזרה להתחלה: Alt + Home 📖 קוראי מסך תואמים NVDA (Windows) JAWS (Windows) VoiceOver (Mac/iOS) TalkBack (Android) Window-Eyes Dragon NaturallySpeaking בדיקות נגישות תהליך הבדיקה שלנו 🔍 בדיקות אוטומטיות סריקה שוטפת עם כלי אוטומטיים בדיקת ניגודיות צבעים תקינות תגי HTML מבנה כותרות לוגי 👥 בדיקות ידניות ניווט מקלדת מלא בדיקה עם קוראי מסך בדיקת חוויית משתמש משוב ממשתמשים עם מוגבלויות משוב ותמיכה 📞 דרכי יצירת קשר נשמח לקבל משוב על נגישות האתר ולעזור בכל בעיה שתיתקלו בה: טלפון: 050-442-9195 אימייל: Smashlab.nahariya@gmail.com פקס: 03-1234567 כתובת: ולפסון 9, נהריה זמני מענה: ראשון-חמישי, 09:00-17:00 🤝 התחייבותנו מענה לפניות תוך 48 שעות פתרון בעיות נגישות בדחיפות הסבר על אפשרויות הנגישות עדכון שוטף על שיפורים הכשרה למשתמשים שיתוף פעולה עם ארגוני נגישות נגישות פיזית במתחם ♿ נגישות כללית כניסה נגישה עם רמפה מעלית לכל הקומות מסדרונות רחבים שילוט ברייל תאורה מתאימה 🚻 שירותים נגישים שירותים מותאמים לכסאות גלגלים מעקות תמיכה כיור נגיש מתקן קריאה לעזרה חלל פתיחת דלתות מספיק 🅿️ חניה מקומות חניה מיועדים קרבה לכניסה הראשית רוחב מתאים להורדת כסא גלגלים שילוט ברור משטח חלק ללא מכשולים עדכונים ושיפורים תאריך עדכון אחרון: ינואר 2025 🔄 עדכונים אחרונים שיפור ניגודיות צבעים הוספת תוויות ARIA מפורטות אופטימיזציה לקוראי מסך שיפור ניווט מקלדת הוספת כתוביות לסרטונים 📅 תכנית עתידית הוספת תרגום לשפת הסימנים שיפור נוסף של הניווט הוספת מצב ניגודיות גבוהה תמיכה בקריאה פשוטה הרחבת תמיכה בטכנולוגיות עזר SmashLabs - המקום לשחרר לחצים!","",""
"ולפציעה","event-waiver.html","סיכוני החלקה ונפילה - רצפה חלקה מפסולת, שמנים, נוזלים או שברים, העלולים לגרום לנפילה ולפציעה.","",""
"ולקבל","event-waiver.html","אני מצהיר/ה כי קיבלתי הדרכת בטיחות מפורטת, הבנתי את כל ההוראות, וקיבלתי הזדמנות לשאול שאלות ולקבל הבהרות.","",""
"ולרכוש","event-waiver.html","אחריות לנזקים ולרכוש אישי 12.","",""
"ולרסק","rage-room.html","חוויה זו מתאימה לכל הגילאים ומביאה אתכם לשחרר מתח בדרך הכי מעניינת שאפשר הסבר בטיחות, לבחור כלי או כלים בעזרתם תרצו לשבור ולרסק, בוחרים פלייליסט והיידה לתת בראש.","",""
